18,Canada,0.861,,0.890,,0.911,,0.927,,0.932,,0.928,,0.934,,0.935,,-5,,0.33,,0.23,,0.22,,0.26,
19,Korea (Republic of),0.731,,0.824,,0.890,,0.908,,0.922,,0.922,,0.926,,0.929,,3,,1.20,,0.77,,0.36,,0.75,
20,Luxembourg,0.793,,0.864,,0.912,,0.914,,0.925,,0.921,,0.927,,0.927,,-1,,0.86,,0.54,,0.14,,0.49,
20,United States,0.875,,0.894,,0.916,,0.924,,0.933,,0.923,,0.921,,0.927,,-5,,0.22,,0.24,,0.10,,0.18,
22,Austria,0.823,,0.870,,0.903,,0.910,,0.920,,0.916,,0.920,,0.926,,-1,,0.56,,0.37,,0.21,,0.37,
22,Slovenia,..,,0.823,,0.890,,0.903,,0.918,,0.910,,0.916,,0.926,,1,,..,,0.79,,0.33,,..,
24,Japan,0.846,,0.883,,0.903,,0.913,,0.918,,0.917,,0.920,,0.920,,-4,,0.43,,0.22,,0.16,,0.26,
25,Israel,0.781,,0.835,,0.887,,0.899,,0.909,,0.906,,0.911,,0.915,,-1,,0.67,,0.61,,0.26,,0.50,
25,Malta,0.726,,0.779,,0.862,,0.887,,0.905,,0.901,,0.912,,0.915,,3,,0.71,,1.02,,0.50,,0.73,
27,Spain,0.762,,0.828,,0.868,,0.889,,0.904,,0.894,,0.904,,0.911,,0,,0.83,,0.47,,0.40,,0.56,
28,France,0.790,,0.844,,0.880,,0.893,,0.905,,0.900,,0.906,,0.910,,-3,,0.66,,0.42,,0.28,,0.44,
29,Cyprus,0.733,,0.797,,0.859,,0.874,,0.901,,0.900,,0.901,,0.907,,3,,0.84,,0.75,,0.45,,0.67,
30,Italy,0.780,,0.842,,0.880,,0.881,,0.899,,0.892,,0.899,,0.906,,0,,0.77,,0.44,,0.24,,0.47,
31,Estonia,0.741,,0.798,,0.864,,0.883,,0.893,,0.891,,0.890,,0.899,,-2,,0.74,,0.80,,0.33,,0.61,
32,Czechia,0.748,,0.810,,0.872,,0.891,,0.896,,0.891,,0.891,,0.895,,-6,,0.80,,0.74,,0.22,,0.56,
33,Greece,0.762,,0.818,,0.874,,0.881,,0.890,,0.887,,0.887,,0.893,,-3,,0.71,,0.66,,0.18,,0.50,
34,Bahrain,0.733,,0.775,,0.807,,0.859,,0.888,,0.884,,0.884,,0.888,,3,,0.56,,0.41,,0.80,,0.60,
35,Andorra,..,,0.815,,0.863,,0.856,,0.865,,0.843,,0.855,,0.884,,3,,..,,0.57,,0.20,,..,
36,Poland,0.715,,0.794,,0.845,,0.869,,0.880,,0.874,,0.876,,0.881,,-2,,1.05,,0.62,,0.35,,0.65,
37,Latvia,0.732,,0.761,,0.827,,0.853,,0.873,,0.873,,0.865,,0.879,,2,,0.39,,0.84,,0.51,,0.57,
37,Lithuania,0.740,,0.769,,0.846,,0.865,,0.886,,0.880,,0.875,,0.879,,-2,,0.39,,0.96,,0.32,,0.54,
39,Croatia,..,,0.764,,0.824,,0.844,,0.866,,0.860,,0.867,,0.878,,6,,..,,0.76,,0.53,,..,
40,Qatar,0.764,,0.793,,0.829,,0.852,,0.869,,0.863,,0.864,,0.875,,0,,0.37,,0.44,,0.45,,0.42,
40,Saudi Arabia,0.699,,0.746,,0.805,,0.842,,0.862,,0.861,,0.867,,0.875,,6,,0.65,,0.76,,0.70,,0.70,
42,Portugal,0.703,,0.793,,0.831,,0.850,,0.864,,0.861,,0.865,,0.874,,0,,1.21,,0.47,,0.42,,0.68,
43,San Marino,0.841,,0.875,,0.901,,0.872,,0.861,,0.844,,0.853,,0.867,,-10,,0.40,,0.29,,-0.32,,0.10,
44,Chile,0.705,,0.763,,0.813,,0.846,,0.859,,0.849,,0.856,,0.860,,0,,0.79,,0.64,,0.47,,0.62,
45,Slovakia,..,,0.761,,0.841,,0.852,,0.863,,0.860,,0.852,,0.855,,-5,,..,,1.00,,0.14,,..,
45,Türkiye,0.598,,0.669,,0.750,,0.821,,0.842,,0.835,,0.841,,0.855,,9,,1.13,,1.15,,1.10,,1.12,
47,Hungary,0.721,,0.773,,0.829,,0.839,,0.854,,0.849,,0.846,,0.851,,0,,0.70,,0.70,,0.22,,0.52,
48,Argentina,0.724,,0.780,,0.834,,0.850,,0.853,,0.841,,0.844,,0.849,,-6,,0.75,,0.67,,0.15,,0.50,
49,Kuwait,0.698,,0.780,,0.811,,0.829,,0.838,,0.826,,0.836,,0.847,,0,,1.12,,0.39,,0.36,,0.61,
50,Montenegro,..,,..,,0.806,,0.827,,0.841,,0.832,,0.840,,0.844,,1,,..,,..,,0.38,,..,
51,Saint Kitts and Nevis,..,,..,,0.790,,0.829,,0.838,,0.832,,0.832,,0.838,,-2,,..,,..,,0.49,,..,
52,Uruguay,0.702,,0.754,,0.785,,0.807,,0.818,,0.820,,0.814,,0.830,,8,,0.72,,0.40,,0.47,,0.52,
53,Romania,0.709,,0.721,,0.813,,0.813,,0.834,,0.828,,0.825,,0.827,,3,,0.17,,1.21,,0.14,,0.48,
54,Antigua and Barbuda,..,,..,,0.808,,0.818,,0.831,,0.820,,0.819,,0.826,,1,,..,,..,,0.18,,..,
55,Brunei Darussalam,0.779,,0.789,,0.825,,0.832,,0.827,,0.827,,0.824,,0.823,,-7,,0.13,,0.45,,-0.02,,0.17,
56,Russian Federation,0.741,,0.733,,0.797,,0.823,,0.839,,0.826,,0.818,,0.821,,-3,,-0.11,,0.84,,0.25,,0.32,
57,Bahamas,0.760,,0.788,,0.800,,0.807,,0.802,,0.798,,0.799,,0.820,,3,,0.36,,0.15,,0.21,,0.24,
57,Panama,0.672,,0.722,,0.775,,0.802,,0.820,,0.809,,0.813,,0.820,,5,,0.72,,0.71,,0.47,,0.62,
59,Oman,..,,0.702,,0.798,,0.824,,0.841,,0.823,,0.810,,0.819,,-7,,..,,1.29,,0.22,,..,
60,Georgia,..,,0.694,,0.763,,0.798,,0.816,,0.807,,0.809,,0.814,,4,,..,,0.95,,0.54,,..,
60,Trinidad and Tobago,0.656,,0.708,,0.785,,0.812,,0.813,,0.815,,0.804,,0.814,,-3,,0.77,,1.04,,0.30,,0.68,
62,Barbados,0.728,,0.760,,0.792,,0.798,,0.806,,0.803,,0.803,,0.809,,2,,0.43,,0.41,,0.18,,0.33,
63,Malaysia,0.649,,0.726,,0.768,,0.792,,0.805,,0.802,,0.798,,0.807,,6,,1.13,,0.56,,0.41,,0.68,
64,Costa Rica,0.659,,0.709,,0.769,,0.792,,0.811,,0.811,,0.804,,0.806,,5,,0.73,,0.82,,0.39,,0.63,
65,Serbia,..,,0.689,,0.768,,0.794,,0.812,,0.806,,0.804,,0.805,,3,,..,,1.09,,0.39,,..,
66,Thailand,0.581,,0.663,,0.743,,0.789,,0.801,,0.800,,0.797,,0.803,,6,,1.33,,1.15,,0.65,,1.02,
67,Kazakhstan,0.672,,0.680,,0.766,,0.799,,0.810,,0.806,,0.801,,0.802,,-4,,0.12,,1.20,,0.38,,0.55,
67,Seychelles,..,,0.755,,0.774,,0.797,,0.808,,0.799,,0.795,,0.802,,-1,,..,,0.25,,0.30,,..,
69,Belarus,..,,0.708,,0.790,,0.809,,0.810,,0.800,,0.801,,0.801,,-11,,..,,1.10,,0.12,,..,
,HIGH HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Bulgaria,0.698,,0.723,,0.790,,0.809,,0.813,,0.802,,0.796,,0.799,,-12,,0.35,,0.89,,0.09,,0.42,
71,Palau,..,,0.747,,0.775,,0.782,,0.792,,0.794,,0.802,,0.797,,3,,..,,0.37,,0.23,,..,
72,Mauritius,0.620,,0.682,,0.755,,0.791,,0.806,,0.792,,0.790,,0.796,,-1,,0.96,,1.02,,0.44,,0.78,
73,Grenada,..,,..,,0.779,,0.786,,0.790,,0.786,,0.788,,0.793,,0,,..,,..,,0.15,,..,
74,Albania,0.649,,0.678,,0.766,,0.797,,0.800,,0.784,,0.785,,0.789,,-8,,0.44,,1.23,,0.25,,0.61,
75,China,0.482,,0.586,,0.698,,0.741,,0.775,,0.781,,0.785,,0.788,,18,,1.97,,1.76,,1.02,,1.55,
76,Armenia,0.658,,0.656,,0.739,,0.769,,0.789,,0.769,,0.774,,0.786,,2,,-0.03,,1.20,,0.52,,0.56,
77,Mexico,0.666,,0.709,,0.747,,0.769,,0.781,,0.757,,0.757,,0.781,,1,,0.63,,0.52,,0.37,,0.50,
78,Iran (Islamic Republic of),0.613,,0.692,,0.756,,0.782,,0.785,,0.779,,0.776,,0.780,,-4,,1.22,,0.89,,0.26,,0.76,
78,Sri Lanka,0.641,,0.689,,0.735,,0.760,,0.775,,0.777,,0.783,,0.780,,6,,0.72,,0.65,,0.50,,0.62,
80,Bosnia and Herzegovina,..,,0.656,,0.718,,0.757,,0.780,,0.776,,0.776,,0.779,,7,,..,,0.91,,0.68,,..,
81,Saint Vincent and the Grenadines,..,,0.691,,0.756,,0.777,,0.789,,0.785,,0.773,,0.772,,-5,,..,,0.90,,0.17,,..,
82,Dominican Republic,0.579,,0.646,,0.707,,0.739,,0.765,,0.760,,0.756,,0.766,,12,,1.10,,0.91,,0.67,,0.88,
83,Ecuador,0.645,,0.684,,0.736,,0.764,,0.758,,0.734,,0.746,,0.765,,-1,,0.59,,0.74,,0.32,,0.53,
83,North Macedonia,..,,0.676,,0.746,,0.777,,0.787,,0.766,,0.764,,0.765,,-7,,..,,0.99,,0.21,,..,
85,Cuba,0.684,,0.694,,0.779,,0.765,,0.766,,0.759,,0.742,,0.764,,-4,,0.15,,1.16,,-0.16,,0.35,
86,Moldova (Republic of),0.688,,0.655,,0.716,,0.749,,0.773,,0.765,,0.767,,0.763,,5,,-0.49,,0.89,,0.53,,0.32,
87,Maldives,..,,0.635,,0.692,,0.728,,0.753,,0.737,,0.753,,0.762,,13,,..,,0.86,,0.81,,..,
87,Peru,0.620,,0.675,,0.725,,0.758,,0.774,,0.758,,0.755,,0.762,,-2,,0.85,,0.72,,0.42,,0.65,
89,Azerbaijan,..,,0.635,,0.733,,0.751,,0.762,,0.722,,0.738,,0.760,,1,,..,,1.45,,0.30,,..,
89,Brazil,0.620,,0.668,,0.722,,0.752,,0.764,,0.758,,0.756,,0.760,,0,,0.75,,0.78,,0.43,,0.64,
91,Colombia,0.614,,0.672,,0.732,,0.758,,0.768,,0.756,,0.752,,0.758,,-6,,0.91,,0.86,,0.29,,0.66,
92,Libya,0.724,,0.746,,0.774,,0.749,,0.756,,0.737,,0.746,,0.746,,-1,,0.30,,0.37,,-0.31,,0.09,
93,Algeria,0.593,,0.652,,0.721,,0.736,,0.742,,0.730,,0.740,,0.745,,5,,0.95,,1.01,,0.27,,0.72,
94,Turkmenistan,..,,..,,0.699,,0.725,,0.732,,0.731,,0.740,,0.744,,7,,..,,..,,0.52,,..,
95,Guyana,0.496,,0.570,,0.650,,0.686,,0.711,,0.727,,0.721,,0.742,,27,,1.40,,1.32,,1.11,,1.27,
96,Mongolia,0.579,,0.595,,0.700,,0.739,,0.749,,0.740,,0.730,,0.741,,-2,,0.27,,1.64,,0.48,,0.77,
97,Dominica,..,,0.721,,0.735,,0.719,,0.745,,0.738,,0.737,,0.740,,8,,..,,0.19,,0.06,,..,
98,Tonga,0.640,,0.679,,0.709,,0.723,,0.740,,0.742,,0.738,,0.739,,5,,0.59,,0.43,,0.35,,0.45,
99,Jordan,0.622,,0.681,,0.727,,0.738,,0.744,,0.740,,0.736,,0.736,,-3,,0.91,,0.66,,0.10,,0.53,
100,Ukraine,0.731,,0.698,,0.766,,0.764,,0.774,,0.762,,0.755,,0.734,,-18,,-0.46,,0.93,,-0.35,,0.01,
101,Tunisia,0.566,,0.651,,0.713,,0.724,,0.740,,0.734,,0.729,,0.732,,1,,1.41,,0.91,,0.22,,0.81,
102,Marshall Islands,..,,..,,..,,0.688,,0.722,,0.727,,0.729,,0.731,,17,,..,,..,,..,,..,
102,Paraguay,0.604,,0.656,,0.700,,0.738,,0.746,,0.742,,0.730,,0.731,,-6,,0.83,,0.65,,0.36,,0.60,
104,Fiji,0.630,,0.669,,0.699,,0.716,,0.730,,0.722,,0.715,,0.729,,2,,0.60,,0.44,,0.35,,0.46,
105,Egypt,0.567,,0.629,,0.667,,0.695,,0.724,,0.729,,0.726,,0.728,,11,,1.04,,0.59,,0.73,,0.78,
106,Uzbekistan,..,,0.603,,0.675,,0.701,,0.725,,0.716,,0.721,,0.727,,6,,..,,1.13,,0.62,,..,
107,Viet Nam,0.492,,0.599,,0.676,,0.697,,0.717,,0.726,,0.718,,0.726,,7,,1.99,,1.22,,0.60,,1.22,
108,Saint Lucia,0.666,,0.692,,0.731,,0.736,,0.733,,0.724,,0.717,,0.725,,-10,,0.38,,0.55,,-0.07,,0.27,
109,Lebanon,..,,..,,0.749,,0.756,,0.760,,0.742,,0.725,,0.723,,-21,,..,,..,,-0.29,,..,
110,South Africa,0.635,,0.633,,0.675,,0.721,,0.741,,0.722,,0.721,,0.717,,-6,,-0.03,,0.64,,0.50,,0.38,
111,"Palestine, State of",..,,..,,0.688,,0.710,,0.739,,0.715,,0.715,,0.716,,-2,,..,,..,,0.33,,..,
112,Indonesia,0.526,,0.597,,0.667,,0.698,,0.718,,0.712,,0.707,,0.713,,1,,1.27,,1.11,,0.56,,0.96,
113,Philippines,0.598,,0.635,,0.673,,0.696,,0.714,,0.705,,0.692,,0.710,,2,,0.60,,0.58,,0.45,,0.54,
114,Botswana,0.587,,0.581,,0.652,,0.688,,0.703,,0.701,,0.680,,0.708,,5,,-0.10,,1.16,,0.69,,0.59,
115,Jamaica,0.664,,0.657,,0.711,,0.712,,0.712,,0.707,,0.704,,0.706,,-7,,-0.11,,0.79,,-0.06,,0.19,
116,Samoa,..,,0.672,,0.704,,0.710,,0.712,,0.712,,0.708,,0.702,,-7,,..,,0.47,,-0.02,,..,
117,Kyrgyzstan,0.637,,0.617,,0.661,,0.689,,0.699,,0.691,,0.696,,0.701,,1,,-0.32,,0.69,,0.49,,0.30,
118,Belize,0.609,,0.657,,0.720,,0.714,,0.718,,0.705,,0.698,,0.700,,-11,,0.76,,0.92,,-0.23,,0.44,
,MEDIUM HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Venezuela (Bolivarian Republic of),0.657,,0.699,,0.759,,0.766,,0.720,,0.691,,0.690,,0.699,,-39,,0.62,,0.83,,-0.68,,0.19,
120,Bolivia (Plurinational State of),0.546,,0.625,,0.661,,0.688,,0.715,,0.691,,0.691,,0.698,,-1,,1.36,,0.56,,0.45,,0.77,
120,Morocco,0.448,,0.525,,0.604,,0.656,,0.684,,0.683,,0.688,,0.698,,5,,1.60,,1.41,,1.21,,1.40,
122,Nauru,..,,..,,0.559,,0.642,,0.680,,0.689,,0.693,,0.696,,9,,..,,..,,1.84,,..,
123,Gabon,0.599,,0.626,,0.656,,0.692,,0.702,,0.704,,0.687,,0.693,,-6,,0.44,,0.47,,0.46,,0.46,
124,Suriname,..,,..,,0.696,,0.707,,0.710,,0.702,,0.689,,0.690,,-13,,..,,..,,-0.07,,..,
125,Bhutan,..,,..,,0.582,,0.625,,0.668,,0.675,,0.677,,0.681,,10,,..,,..,,1.32,,..,
126,Tajikistan,0.616,,0.548,,0.631,,0.651,,0.668,,0.656,,0.677,,0.679,,2,,-1.16,,1.42,,0.61,,0.30,
127,El Salvador,0.519,,0.609,,0.657,,0.663,,0.676,,0.666,,0.669,,0.674,,-4,,1.61,,0.76,,0.21,,0.82,
128,Iraq,0.497,,0.583,,0.629,,0.656,,0.678,,0.661,,0.667,,0.673,,-3,,1.61,,0.76,,0.57,,0.95,
129,Bangladesh,0.399,,0.491,,0.558,,0.604,,0.646,,0.657,,0.662,,0.670,,12,,2.10,,1.29,,1.54,,1.63,
130,Nicaragua,0.487,,0.563,,0.611,,0.644,,0.661,,0.652,,0.665,,0.669,,0,,1.46,,0.82,,0.76,,1.00,
131,Cabo Verde,..,,0.590,,0.649,,0.658,,0.667,,0.649,,0.650,,0.661,,-7,,..,,0.96,,0.15,,..,
132,Tuvalu,0.564,,0.599,,0.623,,0.656,,0.654,,0.655,,0.653,,0.653,,-7,,0.60,,0.39,,0.39,,0.46,
133,Equatorial Guinea,..,,0.511,,0.609,,0.648,,0.653,,0.650,,0.647,,0.650,,-4,,..,,1.77,,0.54,,..,
134,India,0.434,,0.490,,0.572,,0.619,,0.638,,0.638,,0.633,,0.644,,4,,1.22,,1.56,,0.99,,1.24,
135,Micronesia (Federated States of),..,,0.637,,0.644,,0.642,,0.640,,0.636,,0.634,,0.634,,-4,,..,,0.11,,-0.13,,..,
136,Guatemala,0.490,,0.551,,0.613,,0.629,,0.645,,0.638,,0.630,,0.629,,-3,,1.18,,1.07,,0.21,,0.78,
137,Kiribati,..,,0.547,,0.584,,0.625,,0.636,,0.629,,0.627,,0.628,,-2,,..,,0.66,,0.61,,..,
138,Honduras,0.513,,0.553,,0.596,,0.610,,0.629,,0.621,,0.620,,0.624,,1,,0.75,,0.75,,0.38,,0.61,
139,Lao People's Democratic Republic,0.408,,0.473,,0.557,,0.604,,0.617,,0.616,,0.615,,0.620,,2,,1.49,,1.65,,0.90,,1.32,
140,Vanuatu,..,,..,,0.578,,0.592,,0.614,,0.612,,0.614,,0.614,,4,,..,,..,,0.50,,..,
141,Sao Tome and Principe,0.480,,0.498,,0.553,,0.595,,0.608,,0.609,,0.609,,0.613,,2,,0.37,,1.05,,0.86,,0.77,
142,Eswatini (Kingdom of),0.546,,0.465,,0.498,,0.577,,0.623,,0.622,,0.612,,0.610,,5,,-1.59,,0.69,,1.70,,0.35,
142,Namibia,0.595,,0.549,,0.584,,0.627,,0.638,,0.634,,0.616,,0.610,,-8,,-0.80,,0.62,,0.36,,0.08,
144,Myanmar,0.333,,0.407,,0.506,,0.557,,0.608,,0.615,,0.599,,0.608,,10,,2.03,,2.20,,1.54,,1.90,
145,Ghana,0.445,,0.500,,0.571,,0.586,,0.599,,0.601,,0.600,,0.602,,1,,1.17,,1.34,,0.44,,0.95,
146,Kenya,0.480,,0.487,,0.545,,0.575,,0.604,,0.599,,0.596,,0.601,,2,,0.14,,1.13,,0.82,,0.71,
146,Nepal,0.395,,0.461,,0.543,,0.568,,0.598,,0.593,,0.591,,0.601,,3,,1.56,,1.65,,0.85,,1.32,
148,Cambodia,0.379,,0.431,,0.542,,0.564,,0.596,,0.596,,0.596,,0.600,,2,,1.29,,2.32,,0.85,,1.45,
149,Congo,0.541,,0.509,,0.581,,0.610,,0.596,,0.598,,0.598,,0.593,,-10,,-0.61,,1.33,,0.17,,0.29,
150,Angola,..,,0.380,,0.516,,0.591,,0.597,,0.594,,0.590,,0.591,,-5,,..,,3.11,,1.14,,..,
151,Cameroon,0.440,,0.426,,0.515,,0.562,,0.586,,0.585,,0.581,,0.587,,1,,-0.32,,1.92,,1.10,,0.90,
152,Comoros,..,,0.458,,0.524,,0.556,,0.584,,0.588,,0.585,,0.586,,3,,..,,1.36,,0.94,,..,
153,Zambia,0.417,,0.418,,0.528,,0.563,,0.574,,0.569,,0.565,,0.569,,-2,,0.02,,2.36,,0.63,,0.98,
154,Papua New Guinea,0.394,,0.456,,0.497,,0.540,,0.562,,0.567,,0.564,,0.568,,5,,1.47,,0.86,,1.12,,1.15,
155,Timor-Leste,..,,0.495,,0.639,,0.621,,0.627,,0.633,,0.574,,0.566,,-18,,..,,2.59,,-1.01,,..,
156,Solomon Islands,..,,0.488,,0.553,,0.562,,0.568,,0.566,,0.564,,0.562,,-4,,..,,1.26,,0.13,,..,
157,Syrian Arab Republic,0.563,,0.587,,0.661,,0.552,,0.564,,0.561,,0.558,,0.557,,-1,,0.42,,1.19,,-1.42,,-0.03,
158,Haiti,0.441,,0.485,,0.449,,0.549,,0.559,,0.557,,0.551,,0.552,,-1,,0.96,,-0.77,,1.74,,0.70,
159,Uganda,0.329,,0.392,,0.500,,0.525,,0.544,,0.545,,0.545,,0.550,,2,,1.77,,2.46,,0.80,,1.62,
159,Zimbabwe,0.479,,0.426,,0.481,,0.544,,0.560,,0.554,,0.549,,0.550,,-1,,-1.17,,1.22,,1.12,,0.43,
,LOW HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Nigeria,..,,..,,0.488,,0.520,,0.537,,0.539,,0.542,,0.548,,2,,..,,..,,0.97,,..,
161,Rwanda,0.320,,0.328,,0.485,,0.509,,0.531,,0.535,,0.539,,0.548,,5,,0.25,,3.99,,1.02,,1.70,
163,Togo,0.399,,0.436,,0.469,,0.510,,0.536,,0.540,,0.545,,0.547,,2,,0.89,,0.73,,1.29,,0.99,
164,Mauritania,0.397,,0.461,,0.508,,0.536,,0.552,,0.539,,0.538,,0.540,,-4,,1.51,,0.98,,0.51,,0.97,
164,Pakistan,0.394,,0.434,,0.496,,0.525,,0.537,,0.536,,0.537,,0.540,,-3,,0.97,,1.34,,0.71,,0.99,
166,Côte d'Ivoire,0.425,,0.454,,0.470,,0.501,,0.529,,0.530,,0.530,,0.534,,4,,0.66,,0.35,,1.07,,0.72,
167,Tanzania (United Republic of),0.366,,0.396,,0.493,,0.507,,0.533,,0.535,,0.529,,0.532,,2,,0.79,,2.22,,0.64,,1.18,
168,Lesotho,0.479,,0.456,,0.470,,0.508,,0.528,,0.530,,0.522,,0.521,,0,,-0.49,,0.30,,0.86,,0.26,
169,Senegal,0.371,,0.388,,0.470,,0.501,,0.514,,0.514,,0.512,,0.517,,1,,0.45,,1.94,,0.80,,1.04,
170,Sudan,0.322,,0.420,,0.489,,0.514,,0.521,,0.518,,0.516,,0.516,,-6,,2.69,,1.53,,0.45,,1.48,
171,Djibouti,..,,0.330,,0.422,,0.473,,0.508,,0.512,,0.512,,0.515,,4,,..,,2.49,,1.67,,..,
172,Malawi,0.299,,0.378,,0.461,,0.498,,0.514,,0.512,,0.509,,0.508,,1,,2.37,,2.00,,0.81,,1.67,
173,Benin,0.350,,0.412,,0.481,,0.509,,0.506,,0.501,,0.502,,0.504,,-7,,1.64,,1.56,,0.39,,1.15,
174,Gambia,0.323,,0.392,,0.449,,0.467,,0.492,,0.492,,0.490,,0.495,,5,,1.95,,1.37,,0.82,,1.34,
175,Eritrea,..,,..,,0.458,,0.473,,0.487,,0.490,,0.490,,0.493,,0,,..,,..,,0.62,,..,
176,Ethiopia,..,,0.286,,0.409,,0.455,,0.485,,0.489,,0.489,,0.492,,5,,..,,3.64,,1.55,,..,
177,Liberia,..,,0.434,,0.460,,0.472,,0.485,,0.483,,0.484,,0.487,,0,,..,,0.58,,0.48,,..,
177,Madagascar,..,,0.438,,0.488,,0.499,,0.498,,0.486,,0.484,,0.487,,-5,,..,,1.09,,-0.02,,..,
179,Guinea-Bissau,..,,..,,0.441,,0.470,,0.488,,0.482,,0.482,,0.483,,-1,,..,,..,,0.76,,..,
180,Congo (Democratic Republic of the),0.377,,0.376,,0.424,,0.457,,0.476,,0.477,,0.475,,0.481,,0,,-0.03,,1.21,,1.06,,0.76,
181,Guinea,0.270,,0.345,,0.415,,0.449,,0.470,,0.471,,0.467,,0.471,,2,,2.48,,1.86,,1.06,,1.75,
182,Afghanistan,0.284,,0.340,,0.449,,0.479,,0.492,,0.488,,0.473,,0.462,,-8,,1.82,,2.82,,0.24,,1.53,
183,Mozambique,0.239,,0.303,,0.407,,0.445,,0.465,,0.467,,0.459,,0.461,,1,,2.40,,2.99,,1.04,,2.07,
184,Sierra Leone,0.314,,0.319,,0.416,,0.438,,0.457,,0.453,,0.456,,0.458,,1,,0.16,,2.69,,0.80,,1.19,
185,Burkina Faso,..,,0.296,,0.372,,0.413,,0.446,,0.446,,0.445,,0.438,,2,,..,,2.31,,1.37,,..,
186,Yemen,0.357,,0.434,,0.496,,0.455,,0.430,,0.430,,0.425,,0.424,,-5,,1.97,,1.34,,-1.30,,0.54,
187,Burundi,0.285,,0.298,,0.404,,0.420,,0.423,,0.419,,0.419,,0.420,,-1,,0.45,,3.09,,0.32,,1.22,
188,Mali,0.236,,0.315,,0.406,,0.409,,0.421,,0.407,,0.408,,0.410,,0,,2.93,,2.57,,0.08,,1.74,
189,Chad,..,,0.292,,0.364,,0.388,,0.398,,0.396,,0.393,,0.394,,0,,..,,2.23,,0.66,,..,
189,Niger,0.212,,0.260,,0.336,,0.367,,0.390,,0.391,,0.389,,0.394,,2,,2.06,,2.60,,1.34,,1.96,
191,Central African Republic,0.333,,0.319,,0.357,,0.367,,0.391,,0.389,,0.387,,0.387,,0,,-0.43,,1.13,,0.67,,0.47,
192,South Sudan,..,,..,,0.406,,0.381,,0.391,,0.386,,0.381,,0.381,,-2,,..,,..,,-0.53,,..,
193,Somalia,..,,..,,..,,..,,..,,..,,..,,0.380,,..,,..,,..,,..,,..,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
